"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","01/20/2021","2Nd Ave Se and Memorial Dr Se  2Nd Ave Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Memorial Dr Se  2Nd Ave Se","Dry","06:53:00","[""Bicycle Helmet"",""Lap and Shoulder Belt Used""]","Clear",0,33.747298,-84.309755,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","02/17/2021","Jonesboro Road and 1677 Lakewood Ave Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","1677 Lakewood Ave Se","Dry","16:33:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.7084935741,-84.3804158015,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","03/02/2021","None and 1054 N Highland Ave Ne","(O) No Injury","Daylight","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","1054 N Highland Ave Ne","Dry","14:58:00","Unknown","Clear",0,33.783284,-84.354786,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedestrian""]",,"[""Motor Vehicle in Motion"",""Pedestrian""]"
1,0,"Atlanta Police Department","03/07/2021","Auburn Ave Ne and Courtland St Ne","(A) Suspected Serious Injury","Daylight","On Roadway - Bicycle Lane","Not a Collision with Motor Vehicle","Auburn Ave Ne","Dry","16:26:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.755556,-84.384268,"Atlanta","FULTON","[""Other Object (Not Fixed)"",""Pedal-Cycle""]","Failure to Yield","[""Other Object (Not Fixed)"",""Pedal-Cycle""]"
0,1,"Georgia Tech Police Department","03/07/2021","Ferst Drive Nw and Regents Drive Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Ferst Drive Nw","Dry","14:15:00","[""None Used"",""None Used""]","Clear",0,33.773717,-84.401338,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Improper Turn"",""Changed Lanes Improperly"",""Failure to Yield"",""No Signal/Improper Signal""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","03/17/2021","12Th St Ne and Peachtree St","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","12Th St Ne","Wet","13:25:00","[""Lap and Shoulder Belt Used"",""None Used""]","Rain",0,33.784305,-84.383075,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Failure to Yield","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","03/20/2021","Pryor Rd and Trinity Ave Sw","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Pryor Rd","Dry","21:09:00","[""Unknown"",""Unknown""]","Clear",0,33.749185,-84.392716,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Improper Turn","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","03/22/2021","Sims St Sw and University Ave","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Sims St Sw","Dry","15:27:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.722155,-84.403226,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Following Too Close","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","03/27/2021","Barnett St Ne and Park Village Dr Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Barnett St Ne","Dry","18:02:00","[""None Used"",""None Used""]","Clear",0,33.768267,-84.35849,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Disregard Stop Sign/Signal","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","03/30/2021","Stiff St Nw and Bankhead Hwy Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Stiff St Nw","Dry","14:30:00","[""Lap Belt Only Used"",""Bicycle Helmet""]","Clear",0,33.771904,-84.428126,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Reaction to Object or Animal","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","04/02/2021","W Peek Rd Nw and Bankhead Hwy Nw","(A) Suspected Serious Injury","Daylight","Off Roadway","Not a Collision with Motor Vehicle","Bankhead Hwy Nw","Dry","18:50:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.777972,-84.477452,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Ditch""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","04/20/2021","Martin St Se and Little St Se","(B) Suspected Minor/Visible Injury","Dark-Not Lighted","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Little St Se","Dry","17:30:00","[""Bicycle Helmet"",""Bicycle Helmet""]","Clear",0,33.730399,-84.387961,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","04/23/2021","None and State Rte 400","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","State Rte 400","Dry","15:21:00","[""None Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.851667,-84.369951,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Disregard Police - Evasion"",""No Signal/Improper Signal""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","04/23/2021","Langford Pkwy and Greenbriar Pkwy Sw","(C) Possible Injury / Complaint","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Greenbriar Pkwy Sw","Dry","13:00:00","[""Unknown"",""Unknown""]","Clear",0,33.691486,-84.489633,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Not Visible (Object, Person, or Vehicle)","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","05/02/2021","Krog St Ne and Edgewood Ave Se","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Krog St Ne","Dry","09:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.754544,-84.364436,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","05/05/2021","N Highland Ave Ne and Los Angeles Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","N Highland Ave Ne","Dry","18:49:00","[""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.783436,-84.354566,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","05/05/2021","10Th St Nw and Northside Pkwy Nw","(A) Suspected Serious Injury","Daylight","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","10Th St Nw","Dry","16:00:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.781557,-84.408114,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Aggressive Driving","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","05/11/2021","Carmel Ave Ne and N Highland Ave Ne","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","N Highland Ave Ne","Dry","22:00:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.764329,-84.355608,"Atlanta","FULTON","[""Pedal-Cycle"",""Pedal-Cycle""]",,"[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
